"업종코드(UPJONG_CD)","대분류(CLASS1)","중분류(CLASS2)","소분류(CLASS3)"
"ss001","요식/유흥","한식","한식"
"ss002","요식/유흥","일식/중식/양식","일식"
"ss003","요식/유흥","일식/중식/양식","양식"
"ss004","요식/유흥","일식/중식/양식","중식"
"ss005","요식/유흥","제과/커피/패스트푸드","제과점"
"ss006","요식/유흥","제과/커피/패스트푸드","커피전문점"
"ss007","요식/유흥","제과/커피/패스트푸드","패스트푸드"
"ss008","요식/유흥","기타요식","기타요식"
"ss009","요식/유흥","유흥","노래방"
"ss010","요식/유흥","유흥","기타유흥업소"
"ss011","요식/유흥","유흥","유흥주점"
"ss012","유통","백화점","백화점"
"ss013","유통","할인점/슈퍼마켓","할인점/슈퍼마켓"
"ss014","유통","할인점/슈퍼마켓","슈퍼마켓"
"ss015","유통","할인점/슈퍼마켓","생활잡화"
"ss016","유통","편의점","편의점"
"ss017","유통","기타유통","기타유통"
"ss018","음/식료품","음/식료품","정육점"
"ss019","음/식료품","음/식료품","농수산물"
"ss020","음/식료품","음/식료품","기타음/식료품"
"ss021","의류/잡화","의복/의류","의복/의류"
"ss022","의류/잡화","패션/잡화","패션/잡화"
"ss023","의류/잡화","패션/잡화","시계/귀금속"
"ss024","의류/잡화","패션/잡화","안경"
"ss027","스포츠/문화/레저","스포츠/문화/레저","종합레저시설"
"ss028","스포츠/문화/레저","스포츠/문화/레저","영화/공연"
"ss029","스포츠/문화/레저","스포츠/문화/레저","스포츠시설"
"ss030","스포츠/문화/레저","스포츠/문화/레저","취미/오락"
"ss031","스포츠/문화/레저","스포츠/문화/레저","서점"
"ss032","스포츠/문화/레저","스포츠/문화/레저용품","스포츠/레저용품"
"ss033","스포츠/문화/레저","스포츠/문화/레저용품","문화용품"
"ss034","스포츠/문화/레저","스포츠/문화/레저용품","화원"
"ss035","여행/교통","숙박","호텔/콘도"
"ss036","여행/교통","숙박","모텔/여관/기타숙박"
"ss037","여행/교통","여행","여행사"
"ss038","여행/교통","여행","항공"
"ss039","여행/교통","여행","면세점"
"ss040","여행/교통","교통","교통"
"ss041","미용","미용서비스","미용실"
"ss042","미용","미용서비스","미용서비스"
"ss043","미용","화장품","화장품"
"ss044","가정생활/서비스","서비스","생활서비스"
"ss045","가정생활/서비스","서비스","세탁소"
"ss046","가정생활/서비스","서비스","업무서비스"
"ss047","가정생활/서비스","인테리어","인테리어"
"ss048","가정생활/서비스","각종요금","통신"
"ss049","가정생활/서비스","각종요금","보험"
"ss050","교육/학원","학원","독서실"
"ss052","교육/학원","유아교육","유아교육"
"ss053","교육/학원","교육용품","교육용품"
"ss054","의료","병원","종합병원"
"ss055","의료","병원","일반병원"
"ss056","의료","병원","치과병원"
"ss057","의료","병원","한의원"
"ss058","의료","약국","약국"
"ss059","의료","기타의료","기타의료"
"ss060","가전/가구","가전/가구","가전"
"ss061","가전/가구","가전/가구","가구"
"ss062","가전/가구","가전/가구","기타가전/가구"
"ss063","자동차","자동차판매","자동차판매"
"ss064","자동차","자동차서비스/용품","자동차서비스"
"ss065","자동차","자동차서비스/용품","자동차용품"
"ss066","주유","주유","주유소"
"ss067","주유","주유","LPG"
"ss068","전자상거래","전자상거래","온라인거래"
"ss069","전자상거래","전자상거래","결제대행(PG)"
"ss070","전자상거래","전자상거래","홈쇼핑"
"ss081","스포츠/문화/레저","스포츠/문화/레저","실내골프"
"ss082","스포츠/문화/레저","스포츠/문화/레저","헬스"
"ss083","스포츠/문화/레저","스포츠/문화/레저","실외골프"
"ss084","스포츠/문화/레저","스포츠/문화/레저","스키"
"ss090","교육/학원","학원","입시보습학원"
"ss091","교육/학원","학원","외국어학원"
"ss092","교육/학원","학원","예체능학원"
"ss093","교육/학원","학원","취미/전문학원"
